review_id,product_id,customer_id,rating,review_date,review_comment
1,165,16,1,2025-06-10,Would not recommend this.
2,27,57,5,2024-12-24,Fast delivery and good packaging.
3,132,25,4,2024-05-24,"Works perfectly, highly recommend."
4,152,32,2,2025-08-10,Product stopped working after a week.
5,92,66,5,2024-11-14,"Excellent product, exceeded my expectations!"
6,125,76,4,2025-07-07,"Works perfectly, highly recommend."
7,200,52,4,2024-01-30,Great value for money.
8,175,39,4,2024-04-18,"Excellent product, exceeded my expectations!"
9,22,36,4,2025-03-12,"Excellent product, exceeded my expectations!"
10,170,71,4,2026-07-01,Fast delivery and good packaging.
11,23,58,4,2025-09-23,Very satisfied with the quality.
12,156,12,4,2026-04-17,"Works perfectly, highly recommend."
13,175,13,5,2024-03-21,Fast delivery and good packaging.
14,124,23,1,2025-08-04,Product stopped working after a week.
15,51,82,5,2024-04-09,Very satisfied with the quality.
16,185,73,4,2025-04-26,Very satisfied with the quality.
17,184,73,5,2024-05-27,Great value for money.
18,144,7,2,2024-09-21,Would not recommend this.
19,30,91,2,2024-07-06,Product stopped working after a week.
20,99,99,3,2024-12-04,Decent product for the price.
21,76,84,3,2025-04-09,"Average quality, expected better."
22,13,25,4,2025-05-01,"Excellent product, exceeded my expectations!"
23,141,5,5,2025-04-17,Very satisfied with the quality.
24,43,22,3,2026-02-25,"Average quality, expected better."
25,154,62,5,2024-05-10,Fast delivery and good packaging.
26,108,42,4,2026-04-17,Very satisfied with the quality.
27,148,17,3,2024-11-29,"It's okay, does the job."
28,12,57,4,2026-03-22,"Excellent product, exceeded my expectations!"
29,110,48,5,2025-02-14,Very satisfied with the quality.
30,195,91,4,2025-09-27,Great value for money.
31,8,65,5,2025-05-08,Great value for money.
32,104,2,4,2024-08-01,"Works perfectly, highly recommend."
33,11,39,3,2025-03-17,Decent product for the price.
34,155,64,3,2025-08-03,"Average quality, expected better."
35,2,67,3,2025-12-11,Decent product for the price.
36,34,27,5,2026-01-27,"Excellent product, exceeded my expectations!"
37,151,54,2,2026-05-06,Would not recommend this.
38,38,59,4,2025-09-02,Fast delivery and good packaging.
39,54,87,4,2024-04-09,Fast delivery and good packaging.
40,170,62,3,2024-11-11,"It's okay, does the job."
41,191,87,1,2025-09-04,"Not satisfied, quality could be better."
42,166,58,5,2026-02-28,Fast delivery and good packaging.
43,199,69,3,2025-05-21,"Average quality, expected better."
